Station Name,Base Radio MAC
Acton Town,3c:ce:73:f8:81:70
Acton Town,a4:56:30:cc:6f:90
Acton Town,c8:f9:f9:72:00:30
Acton Town,2c:36:f8:0f:45:e0
Acton Town,2c:36:f8:0f:29:e0
Acton Town,2c:36:f8:0f:40:e0
Acton Town,2c:36:f8:0f:26:00
Acton Town,c8:f9:f9:28:f7:c0
Acton Town,2c:3e:cf:f1:2a:20
Aldgate East,c4:0a:cb:2d:b1:00
Aldgate East,c4:0a:cb:5c:f0:b0
Aldgate East,c4:0a:cb:65:01:70
Aldgate East,2c:3e:cf:f0:34:90
Aldgate East,c4:0a:cb:64:cf:f0
Aldgate East,c4:0a:cb:5d:8d:e0
Aldgate,c4:0a:cb:64:f0:20
Aldgate,c4:0a:cb:64:98:d0
Aldgate,c4:0a:cb:64:dd:e0
Aldgate,c8:f9:f9:28:e8:c0
Aldgate,2c:3e:cf:f1:25:60
Aldgate,2c:36:f8:b6:42:10
Alperton,c8:f9:f9:72:02:90
Alperton,3c:ce:73:f7:05:d0
Alperton,3c:ce:73:09:92:80
Alperton,c8:f9:f9:5b:70:00
Alperton,3c:ce:73:6c:6c:b0
Alperton,c8:f9:f9:28:e7:60
Alperton,c8:f9:f9:5b:aa:a0
Alperton,3c:ce:73:f8:84:c0
Alperton,3c:ce:73:f8:85:c0
Amersham,2c:36:f8:0f:43:00
Amersham,2c:36:f8:0f:4e:50
Amersham,2c:36:f8:0f:50:c0
Amersham,c8:f9:f9:29:6f:e0
Amersham,64:e9:50:96:0e:d0
Amersham,64:e9:50:96:14:30
Amersham,64:e9:50:96:11:20
Amersham,64:e9:50:05:f4:30
Angel,68:bc:0c:35:c7:a0
Angel,c8:f9:f9:72:05:70
Angel,c4:0a:cb:5d:0c:b0
Angel,c4:0a:cb:64:b9:90
Angel,64:a0:e7:29:7d:a0
Angel,c4:0a:cb:eb:b3:70
Angel,c4:0a:cb:2d:b1:30
Angel,c4:0a:cb:64:da:90
Angel,c4:0a:cb:64:a3:00
Angel,6c:99:89:93:24:c0
Angel,6c:99:89:92:8f:10
Archway,c8:f9:f9:a7:88:a0
Archway,3c:ce:73:f6:ee:e0
Archway,3c:ce:73:57:67:e0
Archway,c8:f9:f9:4c:94:70
Archway,c8:f9:f9:4c:74:d0
Archway,c8:f9:f9:2a:91:d0
Archway,c8:f9:f9:2b:ee:80
Archway,3c:ce:73:f8:88:40
Archway,3c:ce:73:09:8d:20
Archway,3c:ce:73:6c:61:30
Archway,3c:ce:73:f8:3d:a0
Archway,3c:ce:73:70:4a:10
Arnos Grove,64:e9:50:96:0e:50
Arnos Grove,64:e9:50:05:fe:f0
Arnos Grove,64:e9:50:96:01:70
Arnos Grove,64:e9:50:96:10:a0
Arnos Grove,64:e9:50:96:12:40
Arnos Grove,64:e9:50:96:0e:e0
Arnos Grove,64:e9:50:96:10:40
Arnos Grove,64:e9:50:96:4e:70
Arnos Grove,64:e9:50:05:bf:f0
Arnos Grove,64:e9:50:96:50:10
Arsenal,3c:ce:73:f8:3f:70
Arsenal,3c:ce:73:6c:6b:e0
Arsenal,c8:f9:f9:5b:78:10
Arsenal,c8:f9:f9:28:ee:60
Arsenal,c8:f9:f9:72:11:c0
Arsenal,3c:ce:73:09:8b:e0
Arsenal,3c:ce:73:f6:9e:60
Arsenal,3c:ce:73:f8:41:40
Arsenal,3c:ce:73:6c:70:90
Arsenal,c8:f9:f9:5b:7e:b0
Baker Street,c8:f9:f9:5b:73:20
Baker Street,c8:f9:f9:28:ea:a0
Baker Street,c8:f9:f9:2a:f9:00
Baker Street,c8:f9:f9:28:b1:c0
Baker Street,c8:f9:f9:2a:3e:d0
Baker Street,c8:f9:f9:4c:95:10
Baker Street,c8:f9:f9:2a:8f:90
Baker Street,3c:ce:73:70:4e:60
Baker Street,3c:ce:73:70:4a:30
Baker Street,c8:f9:f9:2a:75:c0
Baker Street,c8:f9:f9:5b:71:50
Baker Street,c8:f9:f9:5b:70:70
Baker Street,3c:ce:73:f8:40:80
Baker Street,24:b6:57:42:e2:00
Baker Street,3c:ce:73:70:6b:50
Baker Street,3c:ce:73:f8:41:20
Baker Street,c8:f9:f9:2a:95:60
Baker Street,3c:ce:73:f6:ed:40
Baker Street,3c:ce:73:f6:a2:40
Baker Street,3c:ce:73:70:45:e0
Baker Street,3c:ce:73:09:8d:40
Baker Street,c8:f9:f9:72:01:80
Baker Street,3c:ce:73:57:6f:20
Baker Street,2c:36:f8:e9:d5:e0
Baker Street,c8:f9:f9:5b:75:30
Baker Street,3c:ce:73:70:40:e0
Baker Street,c8:f9:f9:5b:99:00
Baker Street,3c:ce:73:09:79:a0
Baker Street,2c:36:f8:60:41:30
Baker Street,3c:ce:73:f6:72:60
Baker Street,3c:ce:73:f8:90:a0
Baker Street,c8:f9:f9:5b:72:b0
Baker Street,c8:f9:f9:72:32:f0
Baker Street,3c:ce:73:f6:a2:d0
Baker Street,c8:f9:f9:2a:92:30
Baker Street,c8:f9:f9:72:0b:d0
Baker Street,3c:ce:73:6c:62:50
Baker Street,c8:f9:f9:28:e5:d0
Baker Street,2c:3e:cf:f0:0b:40
Baker Street,2c:3e:cf:f0:10:a0
Baker Street,2c:3e:cf:f0:32:80
Baker Street,2c:3e:cf:f0:13:f0
Baker Street,2c:3e:cf:f0:35:70
Baker Street,2c:3e:cf:f0:0a:20
Baker Street,2c:3e:cf:f0:48:80
Balham,a4:56:30:cc:bd:60
Balham,3c:ce:73:f8:83:00
Balham,3c:ce:73:f8:82:f0
Balham,3c:ce:73:f6:9c:a0
Balham,c8:f9:f9:72:02:50
Balham,2c:3e:cf:f1:2a:60
Balham,3c:ce:73:09:8c:b0
Balham,3c:ce:73:f6:9a:e0
Balham,3c:ce:73:70:4e:20
Balham,3c:ce:73:70:48:50
Balham,6c:99:89:92:de:d0
Balham,6c:99:89:93:2b:90
Balham,6c:99:89:92:c7:e0
Balham,c8:f9:f9:72:04:80
Balham,c8:f9:f9:72:06:c0
Balham,c8:f9:f9:2a:89:50
Balham,c8:f9:f9:72:29:40
Bank & Monument,2c:3f:38:2a:e6:d0
Bank & Monument,2c:3f:38:2a:a9:d0
Bank & Monument,2c:3f:38:2a:e6:60
Bank & Monument,2c:3f:38:2a:bc:e0
Bank & Monument,2c:3f:38:30:38:00
Bank & Monument,64:a0:e7:da:8f:50
Bank & Monument,64:a0:e7:f8:ba:20
Bank & Monument,64:a0:e7:f8:b2:b0
Bank & Monument,2c:3f:38:2a:b6:70
Bank & Monument,2c:3f:38:2a:f2:10
Bank & Monument,2c:3f:38:30:37:40
Bank & Monument,2c:3f:38:2a:b3:60
Bank & Monument,2c:3f:38:2a:e4:10
Bank & Monument,64:a0:e7:ff:21:40
Bank & Monument,64:a0:e7:fe:b8:00
Bank & Monument,64:a0:e7:f8:ba:40
Bank & Monument,2c:3f:38:2b:00:b0
Bank & Monument,2c:3f:38:2a:b6:30
Bank & Monument,2c:3f:38:2a:b6:50
Bank & Monument,2c:3f:38:2a:b5:10
Bank & Monument,2c:3f:38:30:10:70
Bank & Monument,2c:3f:38:30:0c:e0
Bank & Monument,2c:3f:38:30:0f:00
Bank & Monument,64:a0:e7:ff:38:70
Bank & Monument,2c:3f:38:30:0e:20
Bank & Monument,2c:3f:38:2b:25:20
Bank & Monument,2c:3f:38:2a:b6:b0
Bank & Monument,2c:3f:38:30:3d:f0
Bank & Monument,2c:3f:38:2a:b7:80
Bank & Monument,64:a0:e7:ff:17:60
Bank & Monument,64:a0:e7:ff:19:60
Bank & Monument,2c:3f:38:2a:bc:00
Bank & Monument,2c:3f:38:30:20:00
Bank & Monument,2c:3f:38:2b:27:c0
Bank & Monument,2c:3f:38:30:61:30
Bank & Monument,64:a0:e7:ff:3c:40
Bank & Monument,64:a0:e7:f8:b3:10
Bank & Monument,2c:3f:38:2a:b9:30
Bank & Monument,2c:3f:38:30:19:10
Bank & Monument,2c:3f:38:2a:b4:60
Bank & Monument,2c:3f:38:2a:b3:30
Bank & Monument,2c:3f:38:2a:f0:00
Bank & Monument,64:a0:e7:f8:b6:50
Bank & Monument,2c:3f:38:30:1f:10
Bank & Monument,64:a0:e7:f8:bc:f0
Bank & Monument,2c:3f:38:2a:e8:e0
Bank & Monument,2c:3f:38:2a:e3:10
Bank & Monument,2c:3f:38:2a:a9:10
Bank & Monument,2c:3f:38:2a:b5:50
Bank & Monument,2c:3f:38:2a:b6:20
Bank & Monument,2c:3f:38:30:18:90
Bank & Monument,2c:3f:38:2a:bb:f0
Bank & Monument,2c:3f:38:2a:b9:40
Bank & Monument,2c:3f:38:2a:b6:80
Bank & Monument,c8:f9:f9:72:16:80
Bank & Monument,3c:ce:73:f6:a0:60
Bank & Monument,3c:ce:73:f8:3d:10
Bank & Monument,3c:ce:73:f8:40:00
Bank & Monument,3c:ce:73:6c:5e:f0
Bank & Monument,3c:ce:73:f8:8f:20
Bank & Monument,3c:ce:73:f8:8c:50
Bank & Monument,2c:36:f8:0f:2d:70
Bank & Monument,3c:ce:73:f8:2c:c0
Bank & Monument,c8:f9:f9:72:11:00
Bank & Monument,c8:f9:f9:29:04:a0
Bank & Monument,2c:3e:cf:f0:07:70
Bank & Monument,2c:3e:cf:f0:0e:70
Bank & Monument,2c:3e:cf:f0:07:30
Bank & Monument,2c:3e:cf:f0:26:40
Bank & Monument,2c:3e:cf:f0:02:20
Bank & Monument,58:0a:20:7b:fb:d0
Bank & Monument,2c:3e:cf:f0:26:f0
Bank & Monument,2c:3e:cf:f0:18:d0
Bank & Monument,2c:3e:cf:f0:01:40
Bank & Monument,2c:3e:cf:f0:20:d0
Bank & Monument,2c:3e:cf:f0:5a:40
Bank & Monument,2c:3e:cf:f0:0a:c0
Bank & Monument,2c:3e:cf:f0:21:70
Bank & Monument,2c:3e:cf:f1:21:70
Barbican,3c:ce:73:71:10:a0
Barbican,68:bc:0c:0b:e3:b0
Barbican,64:e9:50:96:13:50
Barbican,2c:36:f8:0f:2b:40
Barbican,2c:36:f8:0f:44:00
Barbican,2c:36:f8:0f:2c:c0
Barbican,2c:3e:cf:f0:41:40
Barbican,2c:3e:cf:f0:1c:70
Barking,2c:3e:cf:f0:21:80
Barking,2c:3e:cf:f0:12:60
Barking,2c:3e:cf:f0:12:c0
Barking,2c:3e:cf:f0:12:80
Barking,2c:3e:cf:f0:19:00
Barking,58:0a:20:7b:f0:f0
Barking,2c:3e:cf:f0:06:70
Barking,2c:3e:cf:f0:39:80
Barking,2c:3e:cf:f0:1a:e0
Barking,58:0a:20:7b:f2:40
Barkingside,64:e9:50:05:f2:e0
Barkingside,64:e9:50:05:f4:10
Barkingside,64:e9:50:05:ea:40
Barkingside,64:e9:50:96:29:30
Barkingside,64:e9:50:96:00:80
Barkingside,64:e9:50:96:16:90
Barkingside,64:e9:50:96:11:60
Barkingside,64:e9:50:05:ce:30
Barons Court,2c:3e:cf:f0:35:50
Barons Court,2c:3e:cf:f0:1c:40
Barons Court,2c:3e:cf:f0:17:30
Barons Court,64:e9:50:96:1b:30
Barons Court,64:e9:50:05:fc:90
Barons Court,64:e9:50:96:19:90
Barons Court,64:e9:50:96:13:30
Barons Court,64:e9:50:96:1d:50
Barons Court,64:e9:50:05:fd:00
Bayswater,c4:0a:cb:5d:8e:c0
Bayswater,c4:0a:cb:5d:44:30
Bayswater,c4:0a:cb:b2:be:50
Bayswater,c4:0a:cb:64:a1:60
Bayswater,c4:0a:cb:5d:22:e0
Bayswater,2c:3e:cf:f1:24:00
Bayswater,2c:3e:cf:f1:26:c0
Becontree,2c:36:f8:0f:4b:00
Becontree,2c:36:f8:0f:28:f0
Becontree,2c:36:f8:0f:2d:80
Becontree,2c:36:f8:0f:3e:c0
Becontree,2c:36:f8:0f:2e:80
Becontree,c8:f9:f9:29:43:10
Becontree,3c:ce:73:f8:40:f0
Becontree,c8:f9:f9:72:23:90
Becontree,3c:ce:73:6d:26:20
Becontree,38:ed:18:b8:31:70
Belsize Park,c8:f9:f9:2a:6c:60
Belsize Park,c8:f9:f9:29:0a:00
Belsize Park,3c:ce:73:09:86:d0
Belsize Park,c8:f9:f9:2a:ab:b0
Belsize Park,c8:f9:f9:2a:b2:40
Belsize Park,c8:f9:f9:4d:e4:d0
Belsize Park,3c:ce:73:70:48:30
Belsize Park,c8:f9:f9:5a:18:70
Belsize Park,c8:f9:f9:72:01:50
Belsize Park,c8:f9:f9:2b:ee:60
Belsize Park,3c:ce:73:f6:d3:f0
Belsize Park,3c:ce:73:70:48:70
Belsize Park,c8:f9:f9:72:32:50
Belsize Park,c8:f9:f9:72:14:10
Belsize Park,3c:ce:73:70:4d:d0
Belsize Park,3c:ce:73:70:3f:a0
Belsize Park,c8:f9:f9:72:07:b0
Belsize Park,c8:f9:f9:2a:78:00
Belsize Park,c8:f9:f9:4c:95:20
Belsize Park,c8:f9:f9:5b:7a:f0
Bermonsey,2c:3f:38:30:34:a0
Bermonsey,2c:3f:38:30:18:d0
Bermonsey,2c:3f:38:30:0e:00
Bermonsey,2c:3f:38:2a:fb:20
Bermonsey,2c:3f:38:30:0d:b0
Bermonsey,2c:3f:38:30:20:60
Bermonsey,2c:3f:38:30:10:90
Bermonsey,c8:f9:f9:5b:76:40
Bermonsey,2c:3e:cf:f0:32:10
Bermonsey,2c:3e:cf:f0:1b:30
Bermonsey,2c:3e:cf:f0:36:c0
Bethnal Green,3c:ce:73:70:3e:d0
Bethnal Green,2c:3f:38:2b:15:a0
Bethnal Green,2c:3f:38:2b:24:10
Bethnal Green,2c:3f:38:30:60:e0
Bethnal Green,2c:3f:38:30:0d:60
Bethnal Green,2c:3f:38:2a:aa:e0
Bethnal Green,2c:3f:38:2b:27:00
Bethnal Green,64:a0:e7:ff:10:a0
Blackfriars,c8:f9:f9:4c:91:50
Blackfriars,c8:f9:f9:28:b2:20
Blackfriars,c8:f9:f9:29:04:10
Blackfriars,3c:ce:73:f8:41:f0
Blackfriars,c8:f9:f9:72:05:40
Blackfriars,c8:f9:f9:28:f1:b0
Blackfriars,c8:f9:f9:5b:84:40
Blackfriars,2c:3e:cf:f0:1d:50
Blackfriars,58:0a:20:7b:fe:d0
Blackfriars,2c:3e:cf:f0:38:20
Blackfriars,2c:3e:cf:f0:0f:a0
Blackfriars,2c:3e:cf:f0:3a:10
Blackhorse Road,c8:f9:f9:5b:82:20
Blackhorse Road,2c:36:f8:b9:79:60
Blackhorse Road,c8:f9:f9:be:71:f0
Blackhorse Road,2c:36:f8:0f:4e:70
Blackhorse Road,2c:36:f8:60:34:b0
Blackhorse Road,c8:f9:f9:5b:60:00
Blackhorse Road,2c:36:f8:0e:f1:90
Blackhorse Road,2c:3e:cf:f0:15:a0
Blackhorse Road,2c:3e:cf:f0:28:30
Blackhorse Road,2c:36:f8:60:30:90
Blackhorse Road,a4:56:30:cc:7a:70
Blackhorse Road,a4:56:30:cc:c7:b0
Bounds Green,c8:f9:f9:72:19:f0
Bounds Green,2c:36:f8:0e:d3:30
Bounds Green,c8:f9:f9:72:26:d0
Bounds Green,2c:36:f8:0f:b2:30
Bounds Green,c8:f9:f9:72:05:30
Bounds Green,c8:f9:f9:5b:9e:70
Bounds Green,3c:ce:73:f6:9f:d0
Bounds Green,c8:f9:f9:4d:fd:d0
Bounds Green,c8:f9:f9:5a:17:f0
Bounds Green,3c:ce:73:f8:85:20
Bounds Green,c8:f9:f9:28:f6:10
Bounds Green,3c:ce:73:f8:3d:f0
Bond Street,2c:3f:38:2a:eb:50
Bond Street,2c:3f:38:2a:ab:40
Borough,c4:0a:cb:25:f0:00
Borough,c4:0a:cb:65:32:50
Borough,c4:0a:cb:64:ec:20
Borough,c4:0a:cb:64:ea:60
Borough,c4:0a:cb:5d:17:f0
Borough,c4:0a:cb:64:98:20
Borough,c4:0a:cb:64:db:b0
Borough,c4:0a:cb:5d:6b:50
Borough,c4:0a:cb:64:ce:e0
Boston Manor,2c:3e:cf:f0:0b:b0
Boston Manor,50:1c:bf:81:fc:f0
Boston Manor,64:e9:50:05:df:20
Boston Manor,2c:3e:cf:f0:4a:80
Boston Manor,64:e9:50:05:fb:50
Boston Manor,64:e9:50:96:0b:90
Boston Manor,64:e9:50:96:0c:c0
Bow Road,2c:3e:cf:f0:0d:70
Bow Road,2c:3e:cf:f0:0a:e0
Bow Road,2c:3e:cf:f0:54:50
Bow Road,2c:3e:cf:f0:58:90
Bow Road,2c:3e:cf:f0:54:00
Bow Road,2c:3e:cf:f0:3d:70
Bow Road,2c:3e:cf:f0:31:60
Bow Road,64:e9:50:96:19:b0
Bow Road,2c:3e:cf:f0:44:80
Bow Road,2c:3e:cf:f0:0e:90
Bow Road,64:e9:50:05:ee:80
Brent Cross,2c:3e:cf:f0:2f:e0
Brent Cross,2c:3e:cf:f0:3c:80
Brent Cross,58:0a:20:7b:ff:30
Brent Cross,2c:3e:cf:f0:31:50
Brent Cross,64:e9:50:05:e8:d0
Brent Cross,64:e9:50:96:0f:40
Brent Cross,64:e9:50:96:14:20
Brixton,c8:f9:f9:72:10:c0
Brixton,00:08:30:a6:12:f0
Brixton,00:08:30:a7:cb:20
Brixton,00:08:30:71:36:80
Brixton,00:08:30:8f:6f:10
Brixton,00:08:30:a6:10:e0
Brixton,c8:f9:f9:be:79:50
Brixton,2c:36:f8:0e:94:20
